,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('basketballrim ', 1.000009743789258)","('tennisball ', 1.0523767602684122)","('tennisball ', 1.0548078768587024)","('tennisball ', 1.2473554969536573)","('tennisball ', 1.2477955066182251)","('tennisball ', 1.2477955066182251)","('rolette ', 1.736254721357292)","('rolette ', 1.7362421418288851)","('rolette ', 2.5232557653894454)","('rolette ', 2.5232557653894454)","('rolette ', 2.5232557653894454)","('rolette ', 1.7072653487384164)","('rolette ', 1.7069819797042212)","('rolette ', 1.6183817631559625)","('rolette ', 1.618368975933372)","('rolette ', 1.8222723353981123)","('rolette ', 1.8223084879022216)","('rolette ', 1.8223084879022216)","('remotecontrol ', 2.484659195336625)","('remotecontrol ', 2.4903824199996105)","('remotecontrol ', 2.9557397550386044)","('remotecontrol ', 3.0033654804341143)","('doll ', 4.356446070085785)","('doll ', 4.34105779709126)","('doll ', 4.34105779709126)","('pizza ', 5.070512845773514)","('pizza ', 5.032040401526847)","('parrot ', 12.38326166821131)","('parrot ', 10.720157672187351)","('bird ', 37.83066013733812)","('fish ', 26.96473916825055)"
1,"('highchair ', 1.0000096725620395)","('carpet ', 1.0496474194058807)","('carpet ', 1.0492591737512977)","('beachball ', 1.2410911289843545)","('beachball ', 1.2411150188035545)","('beachball ', 1.2411150188035545)","('beachball ', 1.6173291024081968)","('beachball ', 1.6173347557656141)","('beachball ', 1.7584339802926543)","('beachball ', 1.7584339802926543)","('beachball ', 1.7584339802926543)","('carpet ', 1.488348322446235)","('carpet ', 1.488172186485069)","('remotecontrol ', 1.526991677668902)","('remotecontrol ', 1.5270086916958618)","('remotecontrol ', 1.7575545434532234)","('remotecontrol ', 1.7576036342393986)","('remotecontrol ', 1.7576036342393986)","('rolette ', 1.988429998401159)","('rolette ', 1.989074222925759)","('pizza ', 2.7568211044961)","('pizza ', 2.751595734793972)","('pizza ', 3.951700816129366)","('remotecontrol ', 4.006812468911767)","('remotecontrol ', 4.006812468911767)","('doll ', 4.764845925914059)","('doll ', 4.825425069227377)","('horse ', 9.719160560088408)","('horse ', 9.687762131805481)","('fish ', 24.95171723055201)","('bird ', 24.350628787093004)"
2,"('bike ', 1.0000095331866181)","('pizza ', 1.0408004502182873)","('pizza ', 1.040463808335855)","('rolette ', 1.1957055063150932)","('rolette ', 1.1957155581225132)","('rolette ', 1.1957155581225132)","('beachpail ', 1.427805817694474)","('beachpail ', 1.4274331650926018)","('carpet ', 1.6952540857799057)","('carpet ', 1.6952540857799057)","('carpet ', 1.6952540857799057)","('pants ', 1.4233436541224218)","('pants ', 1.4233593228177788)","('carpet ', 1.5126139788133512)","('carpet ', 1.5125717566678498)","('pizza ', 1.7321230969773964)","('pizza ', 1.732111877461839)","('pizza ', 1.732111877461839)","('baseballball ', 1.8836812585924156)","('baseballball ', 1.885076698177846)","('baseballball ', 2.4910907088593683)","('baseballball ', 2.5016314640198107)","('remotecontrol ', 3.770598787109118)","('pizza ', 3.91490657986292)","('pizza ', 3.91490657986292)","('horse ', 4.598868474910936)","('horse ', 4.585571408600218)","('bird ', 8.06505951934856)","('bird ', 7.691863494475412)","('parrot ', 23.39461221714947)","('horse ', 19.777107180125064)"
3,"('footballball ', 1.0000095331866181)","('beachball ', 1.0383267017621942)","('beachball ', 1.0377103820817324)","('cone ', 1.18541693908814)","('cone ', 1.1854336536948473)","('cone ', 1.1854336536948473)","('sippycup ', 1.402113596196588)","('sippycup ', 1.4021110773264036)","('bag ', 1.6392685228019994)","('bag ', 1.6392685228019994)","('bag ', 1.6392685228019994)","('bag ', 1.4075521808768716)","('bag ', 1.4073795772567388)","('pants ', 1.4631285880844793)","('pants ', 1.46312307781891)","('carpet ', 1.704838451402263)","('carpet ', 1.7048162084242975)","('carpet ', 1.7048162084242975)","('pizza ', 1.8793833589532911)","('pizza ', 1.8798116279204156)","('carpet ', 2.268786866159427)","('carpet ', 2.267369791481699)","('baseballball ', 3.3703288701802068)","('baseballball ', 3.4087278700305217)","('baseballball ', 3.4087278700305217)","('parrot ', 3.736967002252201)","('parrot ', 3.7427624588030994)","('pizza ', 7.234545398364541)","('pizza ', 7.2695906686744145)","('horse ', 17.981602099818012)","('parrot ', 19.642895880927632)"
4,"('stroller ', 1.0000095331866181)","('roses ', 1.03661021436796)","('paper ', 1.0364877749506032)","('pants ', 1.1576484956235737)","('pants ', 1.1576477356507469)","('pants ', 1.1576477356507469)","('bag ', 1.3947688360876476)","('bag ', 1.3947644312667082)","('roses ', 1.5077348260579075)","('roses ', 1.5077348260579075)","('roses ', 1.5077348260579075)","('pizza ', 1.3866379806523308)","('pizza ', 1.3865668167781764)","('beachball ', 1.4089818045870637)","('beachball ', 1.4090114724907603)","('pants ', 1.6177349877241576)","('pants ', 1.6177565616879839)","('pants ', 1.6177565616879839)","('carpet ', 1.8541769482022865)","('carpet ', 1.8549183101133033)","('doll ', 2.256108618075034)","('doll ', 2.2512967498338257)","('barbie ', 3.2110575041521288)","('barbie ', 3.2239418378973825)","('barbie ', 3.2239418378973825)","('barbie ', 3.686719686335341)","('barbie ', 3.730924083140456)","('doll ', 6.59301485787807)","('doll ', 6.965838059323729)","('pizza ', 13.055474888180202)","('remotecontrol ', 14.592743538871382)"
5,"('motorcycle ', 1.0000095331866181)","('deskchair ', 1.0361159079956352)","('roses ', 1.0362969899735766)","('backhoe ', 1.152965661452199)","('backhoe ', 1.152971817999411)","('backhoe ', 1.152971817999411)","('cone ', 1.3769330836114961)","('cone ', 1.3769350641900848)","('pants ', 1.498902709631668)","('pants ', 1.498902709631668)","('pants ', 1.498902709631668)","('beachball ', 1.3853948590377043)","('beachball ', 1.3852558233866834)","('television ', 1.345325199448639)","('television ', 1.3453271242592397)","('beachball ', 1.5802042069653146)","('beachball ', 1.580271292878228)","('beachball ', 1.580271292878228)","('lipstick ', 1.8297829496484468)","('lipstick ', 1.8318210800462635)","('rolette ', 2.2309989982643037)","('rolette ', 2.2346889698974337)","('parrot ', 2.896272598032204)","('rolette ', 2.917589331519525)","('rolette ', 2.917589331519525)","('bird ', 3.6802346811056803)","('bird ', 3.6706049573729023)","('fish ', 6.456066486690799)","('fish ', 6.361581622289294)","('remotecontrol ', 10.965522727133433)","('pizza ', 13.883971905954251)"
6,"('tent ', 1.0000095331866181)","('pancake ', 1.0350044362837005)","('deskchair ', 1.0356533361334384)","('deskchair ', 1.1513279878153204)","('deskchair ', 1.1513321992459409)","('deskchair ', 1.1513321992459409)","('roses ', 1.3623819865596136)","('roses ', 1.3623821108301744)","('cone ', 1.4781683251079065)","('cone ', 1.4781683251079065)","('cone ', 1.4781683251079065)","('tennisball ', 1.3606546578264946)","('tennisball ', 1.3606283281225726)","('roses ', 1.3269800907357878)","('roses ', 1.326962545024657)","('television ', 1.5647285143979157)","('television ', 1.5647922001366494)","('television ', 1.5647922001366494)","('pants ', 1.7528629270809122)","('pants ', 1.7534101284998296)","('barbie ', 2.1797479034149125)","('barbie ', 2.185889862245035)","('rolette ', 2.8818966311276646)","('parrot ', 2.895402366534757)","('parrot ', 2.895402366534757)","('baseballball ', 3.5885410584926025)","('baseballball ', 3.6255943461110363)","('seashell ', 5.155371740257049)","('remotecontrol ', 5.574012766545938)","('seashell ', 10.39479874257091)","('sushi ', 10.027167879749198)"
7,"('dresser ', 1.0000095331866181)","('pants ', 1.034284405098393)","('pancake ', 1.0345266519730787)","('carpet ', 1.150236820214359)","('carpet ', 1.1502415903083594)","('carpet ', 1.1502415903083594)","('carpet ', 1.332064848181512)","('carpet ', 1.3320605986221308)","('tennisball ', 1.4758625905849672)","('tennisball ', 1.4758625905849672)","('tennisball ', 1.4758625905849672)","('television ', 1.3570608955484238)","('television ', 1.3570941337287235)","('lipstick ', 1.3242680531818218)","('lipstick ', 1.3242644256672766)","('lipstick ', 1.5570811776167994)","('lipstick ', 1.5571825436317184)","('lipstick ', 1.5571825436317184)","('roses ', 1.7325358559838808)","('roses ', 1.7322634903135026)","('backhoe ', 2.08338757859112)","('backhoe ', 2.0886478966359783)","('carpet ', 2.7781015835443164)","('carpet ', 2.788963003188617)","('carpet ', 2.788963003188617)","('remotecontrol ', 3.505066541882948)","('remotecontrol ', 3.5758482298005396)","('remotecontrol ', 5.074846815533043)","('seashell ', 5.155112595055637)","('sushi ', 8.965350302707215)","('seashell ', 9.988236672137887)"
8,"('coatrack ', 1.0000094649943658)","('paper ', 1.0336892740551187)","('pants ', 1.033856974962015)","('stove ', 1.1454445581714587)","('stove ', 1.1454436006863993)","('stove ', 1.1454436006863993)","('pants ', 1.3037403865829604)","('pants ', 1.3037452397874973)","('train ', 1.462629420719751)","('train ', 1.462629420719751)","('train ', 1.462629420719751)","('remotecontrol ', 1.3344424000589346)","('remotecontrol ', 1.3344832116327294)","('pizza ', 1.3141326897868988)","('pizza ', 1.3141150518009557)","('sleepingbag ', 1.5206712007011212)","('sleepingbag ', 1.5206816202409315)","('sleepingbag ', 1.5206816202409315)","('backhoe ', 1.721847970286267)","('backhoe ', 1.7224766298398808)","('bike ', 2.0772859964530292)","('bike ', 2.0845786266936055)","('bike ', 2.750494353128998)","('bike ', 2.768186640809071)","('bike ', 2.768186640809071)","('bike ', 3.50216016275635)","('bike ', 3.518732758642166)","('carpet ', 4.676052089287779)","('carpet ', 4.959672812508884)","('ambulance ', 6.9543697455660345)","('ambulance ', 8.181305517497984)"
9,"('helmet ', 1.0000094649943658)","('backyard_grill ', 1.031872492237564)","('boxing_gloves ', 1.0313750051408357)","('paper ', 1.145413504236431)","('paper ', 1.1454065022515822)","('paper ', 1.1454065022515822)","('deskchair ', 1.2894472454574635)","('deskchair ', 1.289452335836438)","('television ', 1.4618337101546124)","('television ', 1.4618337101546124)","('television ', 1.4618337101546124)","('steering_wheel ', 1.326008410314762)","('steering_wheel ', 1.3260316021014031)","('backhoe ', 1.3129351797314535)","('backhoe ', 1.3129417786370101)","('fridge ', 1.512669170921114)","('fridge ', 1.5129919673053673)","('fridge ', 1.5129919673053673)","('bike ', 1.700339017299387)","('bike ', 1.701319701042321)","('chess ', 2.063794553275819)","('chess ', 2.0779005889223483)","('horse ', 2.7403890050399524)","('horse ', 2.735255145803084)","('horse ', 2.735255145803084)","('pants ', 3.2108325085393408)","('carpet ', 3.229690518366605)","('pants ', 4.537321304800319)","('baseballball ', 4.702338873529077)","('baseballball ', 6.667720698825522)","('baseballball ', 7.916542732945941)"
